"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_story","TestShoppingTrolley","","","test_edit_shopping_trolley",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","1","","test_step_param","","","","test_parameterize_with_id[is true]",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_severity","TestClassWithNormalSeverity","","","test_inside_the_normal_severity_test_class_with_overriding_critical_severity",""
"passed","Wed May 15 15:11:01 CST 2019","Wed May 15 15:11:08 CST 2019","6654","","test_sele_allure","","","","test_steps_demo[allure]",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_step_param","","","","test_parametrize_with_two_parameters[string 2-False]",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_severity","TestClassWithNormalSeverity","","","test_inside_the_normal_severity_test_class",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_severity","","","","test_with_no_severity_label",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","1","","test_step_param","","","","test_parameterize_with_uneven_value_sets[10-value 2-boolean parameter id]",""
"passed","Wed May 15 15:11:01 CST 2019","Wed May 15 15:11:01 CST 2019","1","","test_allure_all","","","","test_case_example[letter]","测试相加的各种情况"
"passed","Wed May 15 15:11:08 CST 2019","Wed May 15 15:11:14 CST 2019","6519","","test_sele_allure","","","","test_steps_demo[pytest]",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","1","","test_step_param","","","","test_parametrize_with_two_parameters[string 1-False]",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","1","","test_step_param","","","","test_parameterize_with_uneven_value_sets[10-value 1-boolean parameter id]",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_severity","","","","test_with_normal_severity",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_step_param","","","","test_parameterize_with_id[is false]",""
"passed","Wed May 15 15:11:14 CST 2019","Wed May 15 15:11:21 CST 2019","6395","","test_sele_allure","","","","test_steps_demo[unittest]",""
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_severity","","","","test_with_trivial_severity",""
"passed","Wed May 15 15:11:01 CST 2019","Wed May 15 15:11:01 CST 2019","3","","test_allure_all","","","","test_case_example[decimal123]","测试相加的各种情况"
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_step_param","","","","test_parametrize_with_two_parameters[string 1-True]",""
"passed","Wed May 15 15:11:01 CST 2019","Wed May 15 15:11:01 CST 2019","2","","test_allure_all","","","","test_case_example[mix]","测试相加的各种情况"
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","3","","test_story","TestShoppingTrolley","","","test_add_shopping_trolley",""
"skipped","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_story","TestShoppingTrolley","","","test_delete_shopping_trolley",""
"passed","Wed May 15 15:11:01 CST 2019","Wed May 15 15:11:01 CST 2019","2","","test_allure_all","","","","test_case_example[unicode]","测试相加的各种情况"
"passed","Wed May 15 15:11:21 CST 2019","Wed May 15 15:11:21 CST 2019","0","","test_step_param","","","","test_parametrize_with_two_parameters[string 2-True]",""
